word,list_count
aphasia,2
aphorism,7
aphoristic,2
apiarist,2
apiary,3
apiculture,2
aplomb,4
apocalyptic,3
apocryphal,8
apogee,6
apolitical,2
apologist,4
apologue,1
apology,1
apophasis,1
apophthegm,1
apoplectic,1
apoplexy,2
apostasy,2
apostate,8
apostle,2
apostrophe,1
apothecary,4
apothegm,3
apothegm(apophthegm),1
apotheosis,6
appall,4
apparel,1
apparent,4
apparition,3
appeal,2
appealing,1
appease,9
appellate,1
appellation,4
append,4
appertain,1
applause,1
application,2
appoint,1
apposite,6
apposition,1
appraise,3
appreciable,4
appreciate,2
apprehend,3
apprehensible,1
apprehension,4
apprehensive,2
apprise,7
approach,1
approbation,9
approbatory,2
appropriate,8
appurtenance,2
appurtenances,1
appurtenant,2
apron,1
apropos,5
apt,3
aptitude,2
aquatic,1
aqueduct,1
aqueous,1
aquiline,3
arable,2
arbiter,4
arbitrary,9
arbitrate,4
arbor,2
arboreal,4
arborescent,1
arboretum,3
arboriculture,1
arcade,2
arcane,8
arch,4
archaeology,3
archaic,10
archaism,1
archangel,1
archbishop,1
archdeacon,1
archetype,7
archipelago,4
archive,1
archives,2
ardent,4
ardor,6
arduous,10
argot,3
aria,3
arid,3
aristocracy,2
aristocrat,1
armada,4
armful,1
armory,1
aroma,1
aromatic,2
arraign,3
arrange,1
arrangement,1
arrant,4
array,2
arrear,1
arrears,2
arrest,2
arresting,2
arrhythmic,3
arrival,1
arriviste,2
arrogance,3
arrogant,1
arrogate,7
arroyo,2
arsenal,2
artery,2
artful,5
arthurian,1
articulate,7
artifact,2
artifacts,2
artifice,5
artisan,2
artless,9
artlessness,2
ascendancy,5
ascendant,2
ascension,1
ascent,1
ascertain,6
ascetic,11
asceticism,1
ascribe,7
aseptic,3
asexual,1
ashen,3
asinine,2
askance,6
askew,3
aspect,1
asperity,8
aspersion,5
aspersions,1
aspirant,4
aspiration,2
aspire,3
assail,8
assailant,1
assassin,1
assassinate,1
assassination,1
assay,4
assent,5
assert,4
assertive,2
assess,2
assessor,1
asseverate,1
assiduous,8
assiduously,2
assignee,1
assimilate,4
assonance,1
assonant,1
assonate,1
assuage,11
assumption,2
assurance,2
asteroid,2
astigmatism,2
astonishment,1
astounding,1
astral,2
astringent,6
astrology,1
astronomical,2
astute,6
asunder,4
asylum,3
asymmetric,2
asymmetrical,1
atavism,5
atelier,1
atheism,1
atheistic,2
athirst,1
athwart,2
atomizer,1
atone,4
atonement,1
atrocious,2
atrocity,3
atrophy,2
attache,1
attentive,2
attenuate,9
attest,3
attire,2
attitude,1
attorney-general,1
attribute,3
attrition,2
attuned,1
atypical,2
auburn,1
audacious,13
audacity,3
audible,1
audit,2
audition,2
auditory,1
augment,9
augur,2
augury,5
august,6
aural,1
aureole,2
auricle,1
auricular,1
auriferous,1
aurora,1
auroral,2
auscultation,1
auspice,1
auspices,1
auspicious,6
austere,12
austerity,1
autarchy,1
authentic,2
authenticate,2
authenticity,1
authoritarian,3
authoritative,2
authority,1
autobiography,1
autocracy,2
autocrat,2
autocratic,4
automate,1
automaton,3
autonomous,4
autonomously,2
autonomy,3
autopsy,3
autumnal,1
auxiliary,4
avalanche,3
avant-garde,1
avantgarde,1
avarice,10
avaricious,4
avatar,1
avenge,2
aver,9
averse,3
aversion,7
avert,5
aviary,3
avid,7
avidity,1
avocation,4
avouch,1
avow,4
avulse,1
avuncular,3
awaken,1
awash,1
awe,3
awful,2
awkward,1
awl,3
awning,1
awry,3
axiom,5
axiomatic,2
aye,1
azalea,1
azure,3
babble,3
bacchanal,2
bacchanalia,2
bacchanalian,2
backhanded,1
backslide,2
backwards,1
baconian,1
bacteria,1
bacterium,1
badge,1
badger,6
badinage,4
baffle,3
bailiff,1
bait,3
baize,1
bale,2
baleful,7
balk,6
balky,1
ballad,2
ballast,3
ballet,1
balloon,2
balm,3
balmy,2
balsam,1
banal,12
banality,2
bandanna,1
bandy,3
bane,5
baneful,1
banish,4
banister,1
bank,2
banter,2
bantering,2
bar,2
barb,3
barbarous,1
barcarole,1
bard,2
barefaced,3
bargain,3
baritone,1
barograph,1
barometer,1
baroque,4
barrage,4
barren,2
barricade,1
barring,1
barrister,2
barter,1
barterer,2
base,6
baseboard,1
bask,3
bass,1
bassoon,1
bastard,2
bastardization,2
baste,1
bastion,2
batch,1
bate,3
bathetic,1
baton,1
battalion,3
batten,2
batter,1
bauble,4
bawdy,4
bawl,1
baying,1
bearing,2
beatific,5
beatify,1
beatitude,3
beau,1
becalm,1
beck,1
becoming,2
bedaub,1
bedeck,2
bedizen,2
bedlam,2
bedraggle,2
beeline,2
befog,1
befriend,1
befuddle,2
befuddled,1
beg,2
beget,3
begrudge,5
beguile,4
behemoth,2
beholden,2
behoove,2
behoove(behove),1
behooves,1
behove,1
belabor,4
belate,1
belated,2
belay,1
beleaguer,5
belfry,1
belie,12
believe,1
belittle,5
belle,1
bellicose,6
belligerent,7
bellwether,1
bemoan,4
bemuse,1
bemused,3
benediction,3
benefactor,3
benefice,1
beneficent,7
beneficial,3
beneficiary,3
benefit,3
benevolence,1
benevolent,5
benighted,4
benign,10
benignant,1
benignity,2
benison,3
bent,5
bequeath,4
berate,4
bereave,2
bereaved,2
bereavement,2
bereft,5
berserk,2
berth,1
beseech,5
beset,3
besiege,6
besmear,1
besmirch,5
besotted,2
bestial,3
bestow,3
bestrew,1
bestride,1
bete noire,1
bethink,1
betide,1
betimes,1
betoken,3
betray,6
betroth,3
betrothal,1
betrothed,1
bevel,1
bevy,4
beware,2
bewilder,1
bewitch,2
biased,1
bibliography,2
bibliomania,1
bibliophile,1
bibulous,1
bicameral,2
bicker,2
bid,2
bide,1
biennial,3
bier,1
bifurcate,3
bifurcated,2
bigamist,1
bigamy,1
bight,1
bigot,3
bigotry,2
bilateral,1
bilingual,1
bilious,5
bilk,4
billingsgate,1
billow,2
billowing,2
bimester,1
biograph,1
biography,1
biology,1
biped,1
birthright,1
bisque,1
biting,2
bitter,2
bitterness,1
bivouac,2
bizarre,2
blackball,2
blanch,3
bland,4
blandishment,3
blare,2
blase,3
blaspheme,1
blasphemous,1
blasphemy,2
blast,1
blasé,1
blatant,7
blaze,1
blazon,3
bleak,5
blemish,4
blight,5
blighted,3
blinkered,2
bliss,3
blithe,7
blithesome,2
bloat,1
bloated,1
blockade,1
blotch,2
blowhard,2
bludgeon,2
blue,2
blueprint,1
blues,2
bluff,2
blunder,3
blunt,3
blur,1
blurb,1
blurt,3
blush,2
bluster,4
boast,1
boatswain,1
bode,2
bodice,1
bodily,1
bodyguard,1
bog,2
boggle,1
bogus,4
bohemian,2
boisterous,6
bole,1
bolero,1
boll,1
bolster,11
bolt,3
bomb,1
bombard,1
bombardier,1
bombardment,2
bombast,6
bombastic,6
bonhomie,3
boo,1
bookish,2
boon,6
boor,5
boorish,7
boost,2
bootless,2
bore,2
borough,1
bosom,1
botanical,1
botanize,1
botany,1
botch,2
bouillon,3
bound,3
bountiful,3
bouquet,1
bourgeois,2
bout,2
bovine,2
bowdlerize,5
bowler,1
boycott,2
bracing,1
bracket,1
brackish,2
brae,1
brag,2
braggadocio,2
braggart,3
braid,3
brake,1
brand,2
brandish,4
brash,1
brassy,1
brattish,1
bravado,5
brave,2
bravo,1
bravura,1
brawl,2
brawn,3
brawny,2
bray,1
braze,1
brazen,8
brazier,2
breach,4
breadth,2
breaker,1
breech,1
breed,2
breezeway,1
breviary,1
brevity,5
bribe,1
bric-a-brac,1
bridle,7
brigade,1
brigadier,1
brigand,1
brim,2
brimstone,1
brindled,2
brine,1
brink,2
brisk,3
bristle,6
bristling,1
britannia,1
briticism,1
brittle,4
broach,5
broadcast,1
broadside,2
brocade,2
brochure,2
brogan,1
brogue,1
broil,2
brokerage,1
bromide,6
bromine,1
bronchitis,1
bronchus,1
brooch,4
brood,2
brook,8
brotherhood,1
browbeat,6
browse,2
bruise,2
bruit,1
brunt,2
brusque,3
brusquely,2
buccaneer,2
buck,3
bucolic,9
budge,1
buff,1
buffer,1
buffet,2
buffoon,4
buffoonery,3
bugaboo,2
bulbous,1
bulge,3
bulk,2
bullion,3
bullock,1
bully,3
bulrush,1
bulwark,4
bumbling,2
bump,2
bumper,1
bumptious,3
bungle,4
buoy,1
buoyancy,1
buoyant,5
bureau,1
bureaucracy,4
burgeon,12
burgess,1
burgher,1
burlesque,3
burnish,10
bursar,1
buskin,1
bust,2
bustle,1
butt,1
butte,1
butter,1
buttress,9
buxom,3
by-law,1
bygone,1
byline,1
byzantine,5
cabal,5
cabalism,1
cabinet,1
cache,3
cacophonous,4
cacophony,5
cadaver,2
cadaverous,6
cadence,3
cadenza,1
cadet,2
cadge,1
caitiff,1
cajole,7
cajolery,1
calamity,2
calcify,1
calculable,1
calculated,2
calculus,1
caldron,1
caldron(cauldron),1
caliber,2
calibrate,1
calk,1
calligraphy,3
callosity,1
callous,6
callow,7
callus,3
calorie,2
calorific,2
calumniate,2
calumny,9
calvary,1
calvinism,1
calvinize,1
camaraderie,3
came,1
cameo,5
camouflage,1
camp,2
campaign,2
canaanite,1
canard,7
canary,1
candid,7
candidness,2
candor,5
canine,3
canker,2
canny,3
canon,5
canonical,2
canonize,2
canopy,1
cant,4
cantankerous,3
cantata,3
canter,2
canto,4
cantonment,1
canvas,1
canvass,3
canyon,1
capacious,3
capacity,4
caparison,1
capillary,3
capitulate,8
caprice,5
capricious,11
capsize,2
caption,3
captious,5
captivate,1
carafe,2
carapace,2
carat,2
carcass,1
carcinogenic,2
cardiac,1
cardinal,9
cardiologist,2
careen,3
career,2
carefree,2
caret,2
careworn,1
caricature,5
carillon,2
carmine,1
carnage,3
carnal,4
carnivorous,3
carousal,2
carouse,3
carp,1
carping,4
carrion,4
carte blanche,1
cartilage,1
cartographer,4
cartography,1
cartridge,1
carve,1
caryatid,1
cascade,2
cast,1
caste,3
castigate,9
castigation,4
castrate,2
casual,3
casualty,3
casuistry,1
cat-o-nine-tails,1
cataclysm,6
cataclysmic,1
catalyst,8
catalyze,1
catapult,2
cataract,3
catastrophe,4
catcall,2
catechism,2
categorical,4
cater,2
catharsis,2
cathartic,4
cathode,1
catholic,7
catholicism,1
catholicity,1
caucus,4
cauldron,1
caulk,2
causal,3
caustic,10
cauterize,3
cavalcade,2
cavalier,8
caveat,1
cavern,1
cavil,3
cavort,1
cease,1
cede,7
celerity,4
celestial,2
celibate,2
cement,1
cemetery,2
censor,6
censorious,4
censure,10
census,2
centaur,2
centenary,1
centigrade,2
centiliter,1
centimeter,1
centrifugal,2
centrifuge,3
centripetal,2
centurion,3
cereal,1
cerebral,6
cerebration,2
ceremonial,1
ceremonious,3
certitude,2
cessation,4
cession,3
cetera,1
chafe,2
chaff,4
chaffing,1
chafing,1
chagrin,8
chalice,2
chamber,1
chameleon,4
champ,1
champion,5
championship,2
chancellor,2
chancery,1
chant,2
chaos,2
chaotic,2
chapel,2
chaperon,2
chaplain,2
char,2
characteristic,1
characterize,1
charade,1
charisma,2
charlatan,7
charm,2
chary,8
chase,3
chasm,4
chassis,2
chaste,2
chasten,3
chastise,7
chastity,1
chateau,1
chattel,2
chauvinism,3
chauvinist,6
chauvinistic,2
check,6
checkered,4
checkered(chequered),1
chef,1
chequered,1
cherish,1
cherubic,3
chevron,1
chiaroscuro,1
chicanery,8
chide,4
chiffon,1
chimera,2
chimerical,2
chip,2
chiromancy,1
chiropodist,1
chisel,2
chivalrous,5
chivalry,1
choice,2
choir,3
cholera,1
choleric,7
choral,1
chord,1
chore,2
choreography,3
chortle,4
chorus,3
christ,1
christen,1
christendom,1
chromatic,2
chronic,3
chronicle,2
chronological,2
chronology,1
chronometer,1
chuckle,3
churl,1
churlish,6
ciliated,2
cineast,1
cipher,4
circlet,2
circuit,2
circuitous,3
circular,1
circulate,1
circumference,2
circumlocution,5
circumnavigate,1
circumscribe,8
circumscribed,1
circumspect,9
circumstances,1
circumvent,6
cistern,3
citadel,3
cite,4
civil,2
civility,1
clad,1
claim,1
claimant,1
clairvoyance,1
clairvoyant,2
clamber,3
clamor,3
clamorous,2
clan,1
clandestine,7
clangor,4
clap,2
clapper,2
clarify,1
clarion,5
clarity,1
clasp,3
classify,1
claustrophobia,2
clavicle,2
clearance,1
cleave,3
cleft,3
clemency,5
clement,2
clich\'e,1
cliche,2
clientele,2
climactic,2
clime,2
clinch,1
clip,2
clipper,2
clique,3
cloak,1
clog,1
cloister,2
close-hauled,1
clot,3
clothier,1
cloture,1
cloudburst,1
clout,3
clown,2
cloying,5
clumsy,2
coadjutor,1
coagulant,2
coagulate,5
coalesce,10
coalescence,1
coalition,3
coast,1
coax,4
cockade,1
coda,5
coddle,4
codicil,4
codify,2
coerce,3
coercion,4
coercive,2
coeval,3
coffer,2
cog,2
cogent,13
cogitate,3
cognate,4
cognitive,2
cognizance,2
cognizant,3
cognomen,1
cohabit,2
cohere,4
cohesion,3
cohesive,3
cohort,2
cohorts,1
coiffure,3
coin,3
coincide,1
coincidence,3
coincident,2
colander,3
collaborate,4
collage,2
collapse,2
collapsible,1
collate,2
collateral,2
collation,3
colleague,1
collected,2
collective,1
collector,1
collegian,1
collide,1
collier,2
collision,1
colloquial,3
colloquialism,1
colloquy,3
collude,3
collusion,6
colonnade,1
color,1
colossal,5
colossus,3
coltish,1
coma,3
comatose,2
combustible,3
comeback,2
comely,4
comestible,3
comeuppance,2
comical,1
comity,4
commandeer,2
commemorate,3
commemorative,2
commence,1
commencement,1
commend,1
commendable,2
commensurate,9
commentary,1
commercial,1
commingle,2
commiserate,4
commissariat,1
commission,2
commit,1
commitment,2
committal,1
committed,1
commodious,3
commodity,1
commonplace,2
commonsensical,1
commonwealth,2
commotion,2
communal,2
commune,2
commute,1
compact,2
comparable,1
comparative,1
comparison,1
compartment,2
compassion,2
compatible,2
compel,1
compelling,5
compendium,5
compensate,1
compensated,1
compensatory,1
competence,1
competent,2
competitive,1
competitor,1
compilation,2
compile,2
complacence,1
complacency,3
complacent,6
complaisance,4
complaisant,7
complement,4
complementary,6
complex,1
compliance,2
compliant,7
complicate,1
complication,1
complicit,2
complicity,3
compliment,2
comply,2
component,3
comport,4
composed,1
compost,2
composure,3
compound,5
comprehend,2
comprehensible,1
comprehension,1
comprehensive,5
compress,4
compressible,1
compression,1
comprise,3
compromise,4
compulsion,3
compulsive,2
compulsory,3
compunction,4
compute,3
concatenate,3
concave,3
conceal,1
concede,7
conceit,4
conceive,1
concentrate,1
concentric,2
concept,1
conception,2
concern,1
concerted,3
concerto,1
concession,3
conch,1
conciliate,6
conciliatory,7
concise,3
conclave,2
conclusive,4
concoct,2
concomitant,6
concord,4
concordance,1
concordat,2
concur,5
concurrence,1
concurrent,3
concussion,1
condemn,1
condensation,1
condense,1
condescend,3
condescending,1
condign,3
condiment,1
condiments,1
condole,3
condolence,2
condone,8
conduce,1
conducive,7
conduct,1
conductible,1
conductor,1
conduit,3
confectionery,1
confederacy,1
confederate,1
confer,3
conferee,1
confessor,1
confidant,3
confidante,1
confide,3
confidence,3
confident,2
confidential,2
confine,3
confinement,1
confiscate,3
conflagaration,1
conflagration,6
conflate,2
confluence,5
confluent,1
conformable,1
conformance,1
conformation,1
conformist,2
conformity,3
confound,9
confront,2
congeal,5
congenial,6
congenital,2
congest,1
conglomerate,2
conglomeration,2
congregate,1
congruence,2
congruent,3
conifer,2
coniferous,1
conjectural,1
conjecture,4
conjoin,1
conjugal,4
conjugate,1
conjugation,1
conjunction,1
conjure,3
connivance,2
connive,2
conniving,2
connoisseur,9
connotation,3
connote,2
connubial,3
conquer,1
consanguine,1
consanguineous,3
consanguinity,2
conscience,1
conscientious,5
conscious,1
conscript,3
consecrate,6
consecutive,1
consensus,5
consequence,1
consequential,3
conservatism,1
conservative,2
conservatoire,1
conservatory,5
conserve,1
consider,1
considerable,1
consign,3
consignee,1
consignor,1
consistency,3
console,5
consolidate,3
consolidation,2
consonance,3
consonant,4
consort,3
conspicuous,9
conspiracy,3
conspirator,1
conspire,5
constable,1
constant,1
constellation,1
consternation,4
constituency,4
constituent,5
constitute,2
constitution,2
constrain,1
constrained,1
constraint,4
constrict,2
constringe,1
construct,1
construe,8
consul,1
consulate,1
consummate,7
consumption,1
consumptive,1
contagion,3
contagious,2
contaminate,4
contemn,1
contemplate,1
contemporaneous,1
contemporary,1
contempt,4
contemptible,1
contemptuous,4
contend,6
contender,1
content,1
contention,3
contentious,10
contest,2
context,2
contextualize,1
contiguity,1
contiguous,5
continence,3
contingency,1
contingent,5
continuance,1
continuation,1
continuity,1
continuous,1
contort,2
contortion,1
contortions,1
contraband,3
contract,2
contradiction,1
contradictory,1
contraposition,1
contraries,1
contravene,5
contretemps,1
contribution,1
contributor,1
contrite,12
contrition,2
contrivance,3
contrive,6
contrived,3
control,1
controller,1
controvert,2
contumacious,6
contumacy,1
contumely,1
contuse,1
contusion,4
conundrum,7
convalesce,3
convalescence,1
convalescent,2
convene,3
convenience,2
convention,5
conventional,3
converge,6
convergent,2
conversant,5
converse,2
conversely,1
conversion,2
convert,3
convertible,1
convex,4
convey,1
conveyance,3
conviction,4
convince,1
convivial,6
convoke,4
convoluted,10
convolution,1
convolve,1
convoy,1
convulse,1
convulsion,4
coop,1
copious,10
coquette,4
cord,1
cordial,3
cordon,3
cormorant,1
cornice,3
cornucopia,6
corollary,5
corona,1
coronation,2
coroner,2
coronet,1
corporal,1
corporate,1
corporeal,5
corps,1
corpse,1
corpulent,5
corpus,2
corpuscle,3
correlate,4
correlation,2
correlative,1
corrigible,1
corroborate,10
corroboration,1
corrode,3
corrosion,2
corrosive,4
corrugated,3
corruptible,1
corruption,1
corsair,1
cortege,1
coruscate,1
cosmetic,1
cosmic,3
cosmogony,1
cosmography,1
cosmology,1
cosmopolitan,7
cosmopolitanism,1
cosmos,1
cosset,3
cosseted,2
coterie,4
coterminous,2
countenance,5
counter-claim,1
counteract,1
counterbalance,1
countercharge,1
counterfeit,2
counterintuitive,1
countermand,6
counterpart,3
counterpoint,1
counterproductive,1
countervail,1
counting-house,1
countryman,1
coup,2
couple,2
courageous,1
courier,2
course,1
courser,1
court,4
courtesy,1
coven,1
covenant,3
covert,7
covet,4
covetous,3
covey,1
cow,5
cowardice,1
cower,6
coxswain,1
coy,4
cozen,4
crabbed,3
craft,3
crafty,1
crag,1
cramped,1
cranium,1
crass,4
crave,3
craven,11
craving,1
creak,1
creamery,1
creamy,1
crease,1
credence,8
credential,2
credibility,1
credible,3
creditable,2
credo,3
credulity,4
credulous,6
creed,3
creek,1
creep,3
cremate,2
crematory,1
crepuscular,1
crescendo,6
crest,3
crestfallen,6
crevasse,1
crevice,4
crew,1
cringe,2
crinkle,2
criteria,1
criterion,2
critique,1
crochet,2
crockery,1
crone,3
cronyism,1
crook,1
croon,2
cross,2
crossbreed,2
crotchety,2
crouch,1
crucial,1
crucible,1
cruet,1
crumple,1
crusade,1
crust,2
crustacean,1
crustaceous,1
crutch,1
crux,3
crypt,2
cryptic,6
cryptogram,1
crystallize,3
cubicle,2
cudgel,1
cue,2
cuisine,3
cul de sac,1
culinary,3
cull,3
culminate,3
culmination,2
culpability,2
culpable,6
culprit,3
cultivate,1
cultured,1
culvert,3
cumbersome,7
cumulative,2
cunning,5
cupidity,8
curable,1
curator,4
curb,3
curfew,2
curio,1
curmudgeon,9
curriculum,1
curry,1
cursive,3
cursory,7
curt,2
curtail,5
curtsy,1
cycloid,1
cygnet,1
cynic,2
cynical,6
cynicism,2
cynosure,3
dabble,3
daft,1
daguerreotype,1
dainty,2
dais,4
dalliance,1
dally,3
damn,2
damp,1
damper,1
dandy,1
dank,3
dapper,4
dappled,3
daredevil,1
daring,1
darkling,1
dart,3
darwinism,1
dastard,2
datum,1
daub,2
daunt,6
daunting,2
dauntless,3
dawdle,4
day-man,1
days,1
daze,2
dazzle,2
dead-heat,1
deadlock,2
deadpan,3
dearth,10
deaths-head,1
debacle,5
debar,2
debark,1
debase,8
debased,1
debatable,1
debauch,2
debauchery,1
debenture,1
debilitate,3
debilitating,1
debonair,5
debris,3
debunk,8
debut,4
debutante,3
decadence,3
decadent,2
decagon,1
decagram,1
decaliter,1
decalogue,1
decameron,1
decameter,1
decamp,1
decant,3
decapitate,3
decapod,1
decasyllable,1
deceit,1
deceitful,1
deceive,1
decelerate,2
decency,1
decent,1
decibel,2
deciduous,3
decimal,1
decimate,4
decimation,2
decipher,5
decisive,1
declaim,1
declamation,1
declamatory,1
declarative,1
declivity,5
decode,1
decollete,2
decomposition,2
decorous,5
decorum,10
decourous,1
decoy,3
decree,3
decrepit,4
decrepitude,2
decry,5
dedication,1
deduce,2
deducible,2
deem,1
deface,4
defalcate,3
defamation,2
defame,3
default,5
defeatist,2
defect,2
defection,2
defendant,1
defensible,1
defensive,1
defer,5
deference,10
deferential,2
defiance,2
defiant,1
deficiency,2
deficient,1
defile,3
definite,1
definitive,2
deflect,6
defoliant,1
defoliate,2
deforest,2
deform,1
deformity,1
defraud,1
defray,6
defrock,2
deft,5
deftness,1
defunct,2
defuse,1
defy,1
degeneracy,1
degenerate,3
degradation,3
degrade,3
degraded,1
dehydrate,4
deify,6
deign,7
deist,1
deity,1
deject,3
dejection,1
delectable,1
delectation,1
delegate,2
delete,2
deleterious,10
deliberate,6
delicacy,3
delimit,1
delineate,10
delineation,1
deliquesce,1
deliquescent,1
delirious,1
delirium,3
delta,2
delude,3
deluge,4
delusion,5
delusive,2
delusory,1
delve,4
demagnetize,1
demagogue,6
demanding,1
